Symbol,Name,Exchange
002065.XSHE,DHC SOFTWARE,Shenzhen
002067.XSHE,ZHEJIANG JINGXING PAPER JOINT STOCK,Shenzhen
002068.XSHE,JIANGXI BLACK CAT CARBON BLACK,Shenzhen
002073.XSHE,MESNAC,Shenzhen
002074.XSHE,GOTION HIGH-TECH,Shenzhen
002075.XSHE,JIANGSU SHAGANG,Shenzhen
002077.XSHE,JIANGSU DAGANG,Shenzhen
002078.XSHE,SHANDONG SUN PAPER,Shenzhen
002079.XSHE,SUZHOU GOOD-ARK ELECTRONICS,Shenzhen
002080.XSHE,SINOMA SCIENCE AND TECHNOLOGY,Shenzhen
002081.XSHE,SUZHOU GOLD MANTIS CONSTRUCTION DECO,Shenzhen
002082.XSHE,WANBANGDE PHARMACEUTICAL HOLDING GROUP,Shenzhen
002083.XSHE,SUNVIM GROUP,Shenzhen
002085.XSHE,ZHEJIANG WANFENG AUTO WHEEL,Shenzhen
002086.XSHE,SHANDONG ORIENTAL OCEAN SCI-TECH,Shenzhen
002088.XSHE,LUYANG ENERGY-SAVING MATERIALS,Shenzhen
002091.XSHE,JIANGSU GUOTAI INTL GROUP,Shenzhen
002092.XSHE,XINJIANG ZHONGTAI CHEMICAL,Shenzhen
002093.XSHE,GUOMAI TECHNOLOGIES INC,Shenzhen
002094.XSHE,QINGDAO KINGKING APPLIED CHEMISTRY,Shenzhen
002095.XSHE,ZHEJIANG NETSUN,Shenzhen
002096.XSHE,EXPLOSIVE,Shenzhen
002097.XSHE,SUNWARD INTELLIGENT EQUIPMENT,Shenzhen
002099.XSHE,ZHEJIANG HISOAR PHARMACEUTICAL,Shenzhen
002100.XSHE,TECON BIOLOGY,Shenzhen
002101.XSHE,GUANGDONG HONGTU TECHNOLOGY(HOLDINGS),Shenzhen
002102.XSHE,HUBEI NENGTER TECHNOLOGY,Shenzhen
002103.XSHE,GUANGBO GROUP STOCK,Shenzhen
002104.XSHE,HENGBAO,Shenzhen
002106.XSHE,SHENZHEN LAIBAO HI-TECH,Shenzhen
002108.XSHE,CANGZHOU MINGZHU PLASTIC,Shenzhen
002110.XSHE,SANSTEEL MINGUANG FUJIAN,Shenzhen
002111.XSHE,WEIHAI GUANGTAI AIRPORT EQUIPMENT,Shenzhen
002115.XSHE,SUNWAVE COMMUNICATIONS,Shenzhen
002116.XSHE,CHINA HAISUM ENGINEERING,Shenzhen
002117.XSHE,TUNGKONG INC,Shenzhen
002119.XSHE,NINGBO KANGQIANG ELECTRONICS,Shenzhen
002120.XSHE,YUNDA HOLDING GROUP,Shenzhen
002121.XSHE,SHENZHEN CLOU ELECTRONICS,Shenzhen
002123.XSHE,MONTNETS CLOUD TECHNOLOGY GROUP,Shenzhen
002124.XSHE,TECH-BANK FOOD,Shenzhen
002125.XSHE,XIANGTAN ELECTROCHEMICAL SCIENTIFIC,Shenzhen
002126.XSHE,ZHEJIANG YINLUN MACHINERY,Shenzhen
002127.XSHE,NANJI E-COMMERCE,Shenzhen
002128.XSHE,INNER MONGOLIA DIAN TOU ENERGY CORP,Shenzhen
002129.XSHE,TCL ZHONGHUAN RENEWABLE ENERGY TECH,Shenzhen
002130.XSHE,SHENZHEN WOER HEAT-SHRINKABLE MATERIAL,Shenzhen
002131.XSHE,LEO GROUP,Shenzhen
002132.XSHE,HENAN HENGXING SCIENCE & TECHNOLOGY,Shenzhen
002134.XSHE,TIANJIN PRINTRONICS CIRCUIT,Shenzhen
002135.XSHE,ZHEJIANG SOUTHEAST SPACE FRAME,Shenzhen
002137.XSHE,SHENZHEN SEA STAR TECHNOLOGY,Shenzhen
002138.XSHE,SHENZHEN SUNLORD ELECTRONICS,Shenzhen
002139.XSHE,SHENZHEN TOPBAND,Shenzhen
002140.XSHE,EAST CHINA ENGINEERING SCIENCE AND TECH,Shenzhen
002142.XSHE,BANK OF NINGBO,Shenzhen
002145.XSHE,TINERGY CHEMICAL,Shenzhen
002146.XSHE,RISESUN REAL ESTATE DEVELOPMENT,Shenzhen
002148.XSHE,BEIJING BEWINNER COMMUNICATIONS,Shenzhen
002149.XSHE,WESTERN METAL MATERIALS,Shenzhen
002150.XSHE,JIANGSU CHINT POWER TECHNOLOGY,Shenzhen
002151.XSHE,BEIJING BDSTAR NAVIGATION,Shenzhen
002152.XSHE,GRG BANKING EQUIPMENT,Shenzhen
002153.XSHE,BEIJING SHIJI INFORMATION TECHNOLOGY,Shenzhen
002154.XSHE,BAOXINIAO HOLDING,Shenzhen
002155.XSHE,HUNAN GOLD CORPORATION,Shenzhen
002156.XSHE,TONGFU MICROELECTRONICS,Shenzhen
002157.XSHE,JIANGXI ZHENGBANG TECHNOLOGY,Shenzhen
002158.XSHE,SHANGHAI HANBELL PRECISE MACHINERY,Shenzhen
002161.XSHE,INVENGO INFORMATION TECHNOLOGY,Shenzhen
002163.XSHE,HAINAN DEVELOPMENT HOLDINGS NANHAI,Shenzhen
002164.XSHE,NINGBO DONLY,Shenzhen
002165.XSHE,HONGBAOLI GROUP,Shenzhen
002166.XSHE,GUILIN LAYN NATURAL INGREDIENTS CORP,Shenzhen
002167.XSHE,GUANGDONG ORIENT ZIRCONIC IND SCI&TECH,Shenzhen
002169.XSHE,GUANGZHOU ZHIGUANG ELECTRIC,Shenzhen
002170.XSHE,SHENZHEN BATIAN ECOTYPIC ENGINEERING,Shenzhen
002171.XSHE,ANHUI TRUCHUM ADV MATERIALS AND TECH,Shenzhen
002173.XSHE,INNOVATIVE MEDICAL MANAGEMENT,Shenzhen
002174.XSHE,YOUZU INTERACTIVE,Shenzhen
002175.XSHE,GUANGXI ORIENTAL INTELLIGENT MFG TECH,Shenzhen
002176.XSHE,JIANGXI SPECIAL ELECTRIC MOTOR,Shenzhen
002177.XSHE,GUANGZHOU KINGTELLER TECHNOLOGY,Shenzhen
002179.XSHE,JONHON OPTRONIC TECHNOLOGY,Shenzhen
002180.XSHE,NINESTAR CORPORATION,Shenzhen
002181.XSHE,GUANGDONG GUANGZHOU DAILY MEDIA,Shenzhen
002182.XSHE,BAOWU MAGNESIUM TECHNOLOGY,Shenzhen
002183.XSHE,ETERNAL ASIA SUPPLY CHAIN MANAGEMENT,Shenzhen
002185.XSHE,TIANSHUI HUATIAN TECHNOLOGY,Shenzhen
002187.XSHE,GUANGZHOU GRANDBUY,Shenzhen
002189.XSHE,COSTAR GROUP,Shenzhen
002190.XSHE,SICHUAN CHENGFEI INTEGRATION TECHNOLOGY,Shenzhen
002191.XSHE,SHENZHEN JINJIA GROUP,Shenzhen
002192.XSHE,YOUNGY,Shenzhen
002194.XSHE,WUHAN FINGU ELECTRONIC TECHNOLOGY,Shenzhen
002195.XSHE,SHANGHAI STONEHILL TECHNOLOGY,Shenzhen
002197.XSHE,SZZT ELECTRONICS,Shenzhen
002201.XSHE,JIANGSU JIUDING NEW MATERIAL,Shenzhen
002202.XSHE,GOLDWIND SCIENCE&TECHNOLOGY,Shenzhen
002203.XSHE,ZHEJIANG HAILIANG,Shenzhen
002204.XSHE,DALIAN HUARUI HEAVY INDUSTRY GROUP,Shenzhen
002206.XSHE,ZHEJIANG HAILIDE NEW MATERIAL,Shenzhen
002208.XSHE,HEFEI URBAN CONSTRUCTION DEVELOPMENT,Shenzhen
002210.XSHE,SHENZHEN FEIMA INTL SUPPLY CHAIN,Shenzhen
002212.XSHE,TOPSEC TECHNOLOGIES GROUP,Shenzhen
002215.XSHE,SHENZHEN NOPOSION CROP SCIENCE,Shenzhen
002216.XSHE,SANQUAN FOOD,Shenzhen
002217.XSHE,HOLITECH TECHNOLOGY,Shenzhen
002218.XSHE,SHENZHEN TOPRAYSOLAR,Shenzhen
002219.XSHE,NEW JOURNEY HEALTH TECHNOLOGY GROUP,Shenzhen
002221.XSHE,ORIENTAL ENERGY,Shenzhen
002222.XSHE,CASTECH INC,Shenzhen
002223.XSHE,JIANGSU YUYUE MEDICAL EQPT AND SUPPLY,Shenzhen
002225.XSHE,PUYANG REFRACTORIES GROUP,Shenzhen
002226.XSHE,ANHUI JIANGNAN CHEMICAL INDUSTRY,Shenzhen
002229.XSHE,HONGBO,Shenzhen
002230.XSHE,IFLYTEK,Shenzhen
002232.XSHE,QIMING INFORMATION TECHNOLOGY,Shenzhen
002233.XSHE,GUANGDONG TAPAI GROUP,Shenzhen
002236.XSHE,ZHEJIANG DAHUA TECHNOLOGY,Shenzhen
002237.XSHE,SHANDONG HUMON SMELTING,Shenzhen
002238.XSHE,SHENZHEN TOPWAY VIDEO COMMUNICATION,Shenzhen
002239.XSHE,AOTECAR NEW ENERGY TECHNOLOGY GROUP,Shenzhen
002240.XSHE,CHENGXIN LITHIUM GROUP,Shenzhen
002241.XSHE,GOERTEK INC,Shenzhen
002242.XSHE,JOYOUNG,Shenzhen
002243.XSHE,SHENZHEN LEAGUER,Shenzhen
002244.XSHE,HANGZHOU BINJIANG REAL ESTATE GROUP,Shenzhen
002245.XSHE,JIANGSU AZURE CORPORATION,Shenzhen
002246.XSHE,NORTH CHEMICAL INDUSTRIES,Shenzhen
002249.XSHE,ZHONGSHAN BROAD-OCEAN MOTOR,Shenzhen
002250.XSHE,LIANHE CHEMICAL TECHNOLOGY,Shenzhen
002251.XSHE,BETTER LIFE COMMERCIAL CHAIN SHARE,Shenzhen
002252.XSHE,SHANGHAI RAAS BLOOD PRODUCTS,Shenzhen
002254.XSHE,TAYHO ADVANCED MATERIALS GROUP,Shenzhen
002255.XSHE,SUZHOU HAILU HEAVY INDUSTRY,Shenzhen
002256.XSHE,ZETTA GROUP,Shenzhen
002258.XSHE,LIER CHEMICAL,Shenzhen
002261.XSHE,TALKWEB INFORMATION SYSTEM,Shenzhen
002262.XSHE,JIANGSU NHWA PHARMACEUTICAL,Shenzhen
002263.XSHE,ZHEJIANG GREAT SOUTHEAST,Shenzhen
002264.XSHE,NEW HUA DU TECHNOLOGY,Shenzhen
002265.XSHE,JIANSHE INDUSTRY GROUP (YUNNAN),Shenzhen
002266.XSHE,ZHEFU HOLDING GROUP,Shenzhen
002267.XSHE,SHAANXI PROVINCIAL NATURAL GAS,Shenzhen
002268.XSHE,CETC CYBERSPACE SECURITY TECHNOLOGY,Shenzhen
002269.XSHE,SHANGHAI METERSBONWE FASHION AND ACC,Shenzhen
002270.XSHE,HUAMING POWER EQUIPMENT,Shenzhen
002271.XSHE,BEIJING ORIENTAL YUHONG WATERPROOF TECH,Shenzhen
002272.XSHE,SICHUAN CRUN,Shenzhen
002273.XSHE,ZHEJIANG CRYSTAL-OPTECH,Shenzhen
002274.XSHE,JIANGSU HUACHANG CHEMICAL,Shenzhen
002275.XSHE,GUILIN SANJIN PHARMACEUTICAL,Shenzhen
002276.XSHE,ZHEJIANG WANMA,Shenzhen
002277.XSHE,HUNAN FRIENDSHIP AND APOLLO COMMERCIAL,Shenzhen
002279.XSHE,BEIJING JOIN-CHEER SOFTWARE,Shenzhen
002281.XSHE,ACCELINK TECHNOLOGIES,Shenzhen
002283.XSHE,TIANRUN INDUSTRY TECHNOLOGY,Shenzhen
002284.XSHE,ZHEJIANG ASIA-PACIFIC MECH AND ELEC,Shenzhen
002285.XSHE,SHENZHEN WORLDUNION GROUP,Shenzhen
002287.XSHE,TIBET CHEEZHENG TIBETAN MEDICINE,Shenzhen
002290.XSHE,SUZHOU HESHENG SPECIAL MATERIAL,Shenzhen
002291.XSHE,GUANGDONG YOWANT TECHNOLOGY GROUP,Shenzhen
002292.XSHE,ALPHA GROUP,Shenzhen
002293.XSHE,LUOLAI LIFESTYLE TECHNOLOGY,Shenzhen
002294.XSHE,SHENZHEN SALUBRIS PHARMACEUTICALS,Shenzhen
002298.XSHE,ANHUI ZHONGDIANXINLONG SCIENCE AND TECH,Shenzhen
002299.XSHE,FUJIAN SUNNER DEVELOPMENT,Shenzhen
002301.XSHE,SHENZHEN COMIX GROUP,Shenzhen
002302.XSHE,CHINA WEST CONSTRUCTION,Shenzhen
002303.XSHE,MYS GROUP,Shenzhen
002304.XSHE,JIANGSU YANGHE DISTILLERY,Shenzhen
002307.XSHE,XINJIANG BEIXIN ROAD & BRIDGE GROUP,Shenzhen
002309.XSHE,JIANGSU ZHONGLI GROUP,Shenzhen
002310.XSHE,BEIJING ORIENT ECOENERGY,Shenzhen
002311.XSHE,GUANGDONG HAID GROUP,Shenzhen
002312.XSHE,SICHUAN DEVELOPMENT LOMON,Shenzhen
002314.XSHE,SHENZHEN NEW NANSHAN HOLDING,Shenzhen
002315.XSHE,FOCUS TECHNOLOGY,Shenzhen
002317.XSHE,GUANGDONG ZHONGSHENG PHARMACEUTICAL,Shenzhen
002318.XSHE,ZHEJIANG JIULI HI-TECH METALS,Shenzhen
002320.XSHE,HAINAN STRAIT SHIPPING,Shenzhen
002321.XSHE,HENAN HUAYING AGRICULTURAL DEVELOPMENT,Shenzhen
002322.XSHE,NINGBO LIGONG ENV AND ENERGY TECH,Shenzhen
002324.XSHE,SHANGHAI PRET COMPOSITES,Shenzhen
002326.XSHE,ZHEJIANG YONGTAI TECHNOLOGY,Shenzhen
002327.XSHE,SHENZHEN FUANNA BEDDING AND FURNISHING,Shenzhen
002332.XSHE,ZHEJIANG XIANJU PHARMACEUTICAL,Shenzhen
002334.XSHE,SHENZHEN INVT ELECTRIC,Shenzhen
002335.XSHE,KEHUA DATA,Shenzhen
002338.XSHE,CHANGCHUN UP OPTOTECH,Shenzhen
002340.XSHE,GEM,Shenzhen
002342.XSHE,JULI SLING,Shenzhen
002344.XSHE,HAINING CHINA LEATHER MARKET,Shenzhen
002345.XSHE,GUANGDONG CHJ INDUSTRY,Shenzhen
002346.XSHE,SHANGHAI ZHEZHONG GROUP,Shenzhen
002349.XSHE,JINGHUA PHARMACEUTICAL GROUP,Shenzhen
002351.XSHE,EDIFIER TECHNOLOGY,Shenzhen
002352.XSHE,S.F. HOLDING,Shenzhen
002353.XSHE,YANTAI JEREH OILFIELD SERVICES GROUP,Shenzhen
002354.XSHE,TIANYU DIGITAL TECHNOLOGY (DALIAN) GP,Shenzhen
002356.XSHE,SHENZHEN HEMEI GROUP,Shenzhen
002361.XSHE,ANHUI SHENJIAN NEW MATERIALS,Shenzhen
002362.XSHE,HANWANG TECHNOLOGY,Shenzhen
002364.XSHE,HANGZHOU ZHONGHENG ELECTRIC,Shenzhen
002365.XSHE,QIANJIANG YONGAN PHARMACEUTICAL,Shenzhen
002366.XSHE,RONGFA NUCLEAR EQUIPMENT,Shenzhen
002367.XSHE,CANNY ELEVATOR,Shenzhen
002368.XSHE,TAIJI COMPUTER,Shenzhen
002369.XSHE,SHENZHEN ZOWEE TECHNOLOGY,Shenzhen
002371.XSHE,NAURA TECHNOLOGY GROUP,Shenzhen
002372.XSHE,ZHEJIANG WEIXING NEW BUILDING MATERIALS,Shenzhen
002373.XSHE,CHINA TRANSINFO TECHNOLOGY,Shenzhen
002375.XSHE,ZHEJIANG YASHA DECORATION,Shenzhen
002376.XSHE,SHANDONG NEW BEIYANG INFORMATION TECH,Shenzhen
002378.XSHE,CHONGYI ZHANGYUAN TUNGSTEN,Shenzhen
002379.XSHE,SHANDONG HONGQIAO ALUMINUM IND HLDG,Shenzhen
002380.XSHE,NANJING SCIYON WISDOM TECHNOLOGY GROUP,Shenzhen
002382.XSHE,BLUE SAIL MEDICAL,Shenzhen
002383.XSHE,BEIJING UNISTRONG SCIENCE AND TECH,Shenzhen
002384.XSHE,SUZHOU DONGSHAN PRECISION MANUFACTURING,Shenzhen
002385.XSHE,BEIJING DABEINONG TECHNOLOGY GROUP,Shenzhen
002386.XSHE,YIBIN TIANYUAN GROUP,Shenzhen
002387.XSHE,VISIONOX TECHNOLOGY INC.,Shenzhen
002389.XSHE,AEROSPACE CH UAV,Shenzhen
002390.XSHE,GUIZHOU XINBANG PHARMACEUTICAL,Shenzhen
002392.XSHE,BEIJING LIER HIGH-TEMPERATURE MATERIALS,Shenzhen
002393.XSHE,TIANJIN LISHENG PHARMACEUTICAL,Shenzhen
002396.XSHE,FUJIAN STAR-NET COMMUNICATION,Shenzhen
002399.XSHE,SHENZHEN HEPALINK PHARMACEUTICAL,Shenzhen
002400.XSHE,GUANGDONG ADVERTISING GROUP,Shenzhen
002401.XSHE,COSCO SHIPPING TECHNOLOGY,Shenzhen
002402.XSHE,SHENZHEN H&T INTELLIGENT CONTROL,Shenzhen
002403.XSHE,AISHIDA,Shenzhen
002405.XSHE,NAVINFO,Shenzhen
002406.XSHE,XUCHANG YUANDONG DRIVE SHAFT,Shenzhen
002407.XSHE,DO-FLUORIDE NEW MATERIALS,Shenzhen
002408.XSHE,ZIBO QIXIANG TENGDA CHEMICAL,Shenzhen
002409.XSHE,JIANGSU YOKE TECHNOLOGY,Shenzhen
002410.XSHE,GLODON,Shenzhen
002413.XSHE,BEIJING LEIKE DEFENSE TECHNOLOGY,Shenzhen
002414.XSHE,WUHAN GUIDE INFRARED,Shenzhen
002415.XSHE,HANGZHOU HIKVISION DIGITAL TECHNOLOGY,Shenzhen
002416.XSHE,SHENZHEN AISIDI,Shenzhen
002419.XSHE,RAINBOW DIGITAL COMMERCIAL,Shenzhen
002421.XSHE,SHENZHEN DAS INTELLITECH,Shenzhen
002422.XSHE,SICHUAN KELUN PHARMACEUTICAL,Shenzhen
002423.XSHE,COFCO CAPITAL HOLDINGS,Shenzhen
002426.XSHE,SUZHOU VICTORY PRECISION MANUFACTURE,Shenzhen
002427.XSHE,ZHEJIANG UNIFULL INDUSTRIAL FIBRE,Shenzhen
002428.XSHE,YUNNAN LINCANG XINYUAN GERMANIUM IND,Shenzhen
002429.XSHE,SHENZHEN MTC,Shenzhen
002430.XSHE,HANGZHOU OXYGEN PLANT GROUP,Shenzhen
002432.XSHE,ANDON HEALTH,Shenzhen
002434.XSHE,ZHEJIANG WANLIYANG,Shenzhen
002436.XSHE,SHENZHEN FASTPRINT CIRCUIT TECH,Shenzhen
002437.XSHE,HARBIN GLORIA PHARMACEUTICALS,Shenzhen
002438.XSHE,JIANGSU SHENTONG VALVE,Shenzhen
002439.XSHE,VENUSTECH GROUP INC,Shenzhen
002440.XSHE,ZHEJIANG RUNTU,Shenzhen
002441.XSHE,ZHONGYEDA ELECTRIC,Shenzhen
002444.XSHE,HANGZHOU GREATSTAR INDUSTRIAL,Shenzhen
002445.XSHE,JIANGYIN ZHONGNAN HEAVY INDUSTRIES,Shenzhen
002446.XSHE,GUANGDONG SHENGLU TELECOM TECH,Shenzhen
002448.XSHE,ZYNP CORPORATION,Shenzhen
002449.XSHE,FOSHAN NATIONSTAR OPTOELECTRONICS,Shenzhen
002453.XSHE,GREAT CHINASOFT TECHNOLOGY,Shenzhen
002454.XSHE,SONGZ AUTOMOBILE AIR CONDITIONING,Shenzhen
002455.XSHE,JIANGSU BAICHUAN HIGH-TECH NEW MATERIAL,Shenzhen
002456.XSHE,OFILM GROUP,Shenzhen
002458.XSHE,SHANDONG YISHENG LIVESTOCK AND POULTRY,Shenzhen
002459.XSHE,JA SOLAR TECHNOLOGY,Shenzhen
002460.XSHE,GANFENG LITHIUM GROUP,Shenzhen
002461.XSHE,GUANGZHOU ZHUJIANG BREWERY,Shenzhen
002463.XSHE,WUS PRINTED CIRCUIT KUNSHAN,Shenzhen
002465.XSHE,GUANGZHOU HAIGE COMMUNICATIONS GROUP,Shenzhen
002466.XSHE,TIANQI LITHIUM CORP,Shenzhen
002467.XSHE,NET263,Shenzhen
002468.XSHE,STO EXPRESS,Shenzhen
002469.XSHE,SHANDONG SUNWAY CHEMICAL GROUP,Shenzhen
002470.XSHE,KINGENTA ECOLOGICAL ENGINEERING GROUP,Shenzhen
002471.XSHE,JIANGSU ZHONGCHAO HOLDING,Shenzhen
002472.XSHE,ZHEJIANG SHUANGHUAN DRIVELINE,Shenzhen
002475.XSHE,LUXSHARE PRECISION INDUSTRY,Shenzhen
002478.XSHE,JIANGSU CHANGBAO STEELTUBE,Shenzhen
002480.XSHE,CHENGDU XINZHU ROAD AND BRIDGE MACH,Shenzhen
002481.XSHE,YAN TAI SHUANG TA FOOD,Shenzhen
002482.XSHE,SHENZHEN GRANDLAND GROUP,Shenzhen
002483.XSHE,JIANGSU RAINBOW HEAVY INDUSTRIES,Shenzhen
002484.XSHE,NANTONG JIANGHAI CAPACITOR,Shenzhen
002487.XSHE,DAJIN HEAVY INDUSTRY,Shenzhen
002488.XSHE,ZHEJIANG JINGU,Shenzhen
002489.XSHE,YOTRIO GROUP,Shenzhen
002490.XSHE,SHANDONG MOLONG PETROLEUM MACHINERY,Shenzhen
002491.XSHE,TONGDING INTERCONNECTION INFORMATION,Shenzhen
002493.XSHE,RONGSHENG PETRO CHEMICAL,Shenzhen
002497.XSHE,SICHUAN YAHUA INDUSTRIAL GROUP,Shenzhen
002498.XSHE,QINGDAO HANHE CABLE,Shenzhen
002500.XSHE,SHANXI SECURITIES,Shenzhen
002501.XSHE,JILIN LIYUAN PRECISION MFG,Shenzhen
002506.XSHE,GCL SYSTEM INTEGRATION TECHNOLOGY,Shenzhen
002507.XSHE,CHONGQING FULING ZHACAI GROUP,Shenzhen
002508.XSHE,HANGZHOU ROBAM APPLIANCES,Shenzhen
002510.XSHE,TIANJIN MOTOR DIES,Shenzhen
002511.XSHE,C&S PAPER,Shenzhen
002512.XSHE,TATWAH SMARTECH,Shenzhen
002514.XSHE,JIANGSU BOAMAX TECHNOLOGIES GROUP,Shenzhen
002515.XSHE,JINZI HAM,Shenzhen
002516.XSHE,KUANGDA TECHNOLOGY GROUP,Shenzhen
002517.XSHE,KINGNET NETWORK,Shenzhen
002518.XSHE,SHENZHEN KSTAR SCIENCE AND TECHNOLOGY,Shenzhen
002519.XSHE,JIANGSU YINHE ELECTRONICS,Shenzhen
002520.XSHE,ZHEJIANG RIFA PRECISION MACHINERY,Shenzhen
002521.XSHE,QIFENG NEW MATERIAL,Shenzhen
002523.XSHE,ZHUZHOU TIANQIAO CRANE,Shenzhen
002526.XSHE,SHANDONG MINING MACHINERY GROUP,Shenzhen
002527.XSHE,SHANGHAI STEP ELECTRIC CORPORATION,Shenzhen
002530.XSHE,JC FINANCE & TAX INTERCONNECT HOLDINGS,Shenzhen
002531.XSHE,TITAN WIND ENERGY SUZHOU,Shenzhen
002532.XSHE,TIANSHAN ALUMINUM GROUP,Shenzhen
002533.XSHE,GOLDCUP ELECTRIC APPARATUS,Shenzhen
002534.XSHE,XIZI CLEAN ENERGY EQUIPMENT MFG,Shenzhen
002536.XSHE,FEILONG AUTO COMPONENTS,Shenzhen
002537.XSHE,HYUNION HOLDING,Shenzhen
002538.XSHE,ANHUI SIERTE FERTILIZER INDUSTRY,Shenzhen
002539.XSHE,CHENGDU WINTRUE HOLDING,Shenzhen
002540.XSHE,JIANGSU ASIA-PACIFIC LIGHT ALLOY TECH,Shenzhen
002541.XSHE,ANHUI HONGLU STEEL CONSTRUCTION(GROUP),Shenzhen
002542.XSHE,CHINA ZHONGHUA GEOTECHNICAL ENGINEERING,Shenzhen
002543.XSHE,GUANGDONG VANWARD NEW ELECTRIC,Shenzhen
002544.XSHE,CETC POTEVIO SCIENCE&TECHNOLOGY,Shenzhen
002545.XSHE,QINGDAO EAST STEEL TOWER STOCK,Shenzhen
002546.XSHE,NANJING XINLIAN ELECTRONICS,Shenzhen
002547.XSHE,SUZHOU CHUNXING PRECISION MECHANICAL,Shenzhen
002549.XSHE,HUNAN KAIMEITE GASES,Shenzhen
002550.XSHE,CHANGZHOU QIANHONG BIO-PHARMA,Shenzhen
002552.XSHE,BAODING TECHNOLOGY,Shenzhen
002553.XSHE,JIANGSU NANFANG PRECISION,Shenzhen
002555.XSHE,37 INTERACTIVE ENTERTAINMENT NETWORK,Shenzhen
002556.XSHE,ANHUI HUILONG AGRIC MEANS OF PRODUCTION,Shenzhen
002557.XSHE,CHACHA FOOD,Shenzhen
002558.XSHE,GIANT NETWORK GROUP,Shenzhen
002559.XSHE,JIANGSU YAWEI MACHINE TOOL,Shenzhen
002562.XSHE,BROTHER ENTERPRISES HOLDING,Shenzhen
002563.XSHE,ZHEJIANG SEMIR GARMENT,Shenzhen
002564.XSHE,SUZHOU THVOW TECHNOLOGY,Shenzhen
002565.XSHE,SHANGHAI SHUNHO NEW MATERIALS TECH,Shenzhen
002567.XSHE,TANGRENSHEN GROUP,Shenzhen
002568.XSHE,SHANGHAI BAIRUN INVESTMENT HOLDING,Shenzhen
002570.XSHE,BEINGMATE,Shenzhen
002572.XSHE,SUOFEIYA HOME COLLECTION,Shenzhen
002573.XSHE,BEIJING SPC ENVIRONMENT PROTECTION TECH,Shenzhen
002575.XSHE,GUANGDONG QUNXING TOYS JOINT-STOCK,Shenzhen
002577.XSHE,SHENZHEN RAPOO TECHNOLOGY,Shenzhen
002579.XSHE,HUIZHOU CHINA EAGLE ELECTRONIC TECH INC,Shenzhen
002580.XSHE,SHANDONG SACRED SUN POWER SOURCES,Shenzhen
002583.XSHE,HYTERA COMMUNICATIONS CORPORATION,Shenzhen
002584.XSHE,XILONG SCIENTIFIC,Shenzhen
002585.XSHE,JS SHUANGXING COLOR PLASTIC NEW MATLS,Shenzhen
002588.XSHE,STANLEY AGRICULTURE GROUP,Shenzhen
002590.XSHE,ZHEJIANG VIE SCIENCE AND TECHNOLOGY,Shenzhen
002594.XSHE,BYD,Shenzhen
002595.XSHE,HIMILE MECHANICAL SCIENCE AND TECH,Shenzhen
002597.XSHE,ANHUI JINHE INDUSTRIAL,Shenzhen
002600.XSHE,LINGYI ITECH (GUANGDONG),Shenzhen
002601.XSHE,LB GROUP,Shenzhen
002602.XSHE,ZHEJIANG CENTURY HUATONG GROUP,Shenzhen
002603.XSHE,SHIJIAZHUANG YILING PHARMACEUTICAL,Shenzhen
002605.XSHE,SHANGHAI YAOJI TECHNOLOGY,Shenzhen
002607.XSHE,OFFCN EDUCATION TECHNOLOGY,Shenzhen
002608.XSHE,JIANGSU GUOXIN CORP,Shenzhen
002609.XSHE,SHENZHEN JIESHUN SCIENCE AND TECH IND,Shenzhen
002611.XSHE,GUANGDONG DONGFANG PRECISION SCI & TECH,Shenzhen
002612.XSHE,LANCY,Shenzhen
002617.XSHE,ROSHOW TECHNOLOGY,Shenzhen
002624.XSHE,PERFECT WORLD,Shenzhen
002625.XSHE,KUANG-CHI TECHNOLOGIES,Shenzhen
002626.XSHE,XIAMEN KINGDOMWAY GROUP,Shenzhen
002632.XSHE,DAOMING OPTICS&CHEMICAL,Shenzhen
002635.XSHE,SUZHOU ANJIE TECHNOLOGY,Shenzhen
002636.XSHE,GOLDENMAX INTERNATIONAL GROUP,Shenzhen
002637.XSHE,ZANYU TECHNOLOGY GROUP,Shenzhen
002639.XSHE,FUJIAN SNOWMAN GROUP,Shenzhen
002640.XSHE,GLOBAL TOP E-COMMERCE,Shenzhen
002641.XSHE,ERA,Shenzhen
002642.XSHE,RONGLIAN GROUP,Shenzhen
002643.XSHE,VALIANT,Shenzhen
002645.XSHE,JIANGSU HUAHONG TECHNOLOGY STOCK,Shenzhen
002646.XSHE,QINGHAI HUZHU TIANYOUDE HIGHLAND BARLEY,Shenzhen
002648.XSHE,SATELLITE CHEMICAL,Shenzhen
002649.XSHE,BEYONDSOFT CORPORATION,Shenzhen
002651.XSHE,CHENGDU LEEJUN INDUSTRIAL,Shenzhen
002653.XSHE,HAISCO PHARMACEUTICAL GROUP,Shenzhen
002654.XSHE,SHENZHEN MASON TECHNOLOGIES,Shenzhen
002657.XSHE,SINODATA,Shenzhen
002658.XSHE,BEIJING SDL TECHNOLOGY,Shenzhen
002662.XSHE,BEIJING FENGJING AUTOMOTIVE PARTS,Shenzhen
002664.XSHE,XINZHI GROUP,Shenzhen
002668.XSHE,GUANGDONG TCL SMART HOME APPLIANCES,Shenzhen
002670.XSHE,GUOSHENG SECURITIES,Shenzhen
